#Date/Time of Update: 2017-05-05 10:53:45 AM,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date,#Age,#Birth City,#Birth Country,#Rookie,#Team ID,#Team Abbr.,#Team City,#Team Name
,10078,O'Gara,Rob,44,D,"6'4""",227,6/6/1993,23,"Massapequa, NY",USA,N,11,BOS,Boston,Bruins
,4943,Byron,Paul,41,C,"5'7""",153,4/27/1989,28,"Ottawa, ON",Canada,N,14,MTL,Montreal,Canadiens
,11836,Walker,Jack,,LW,"5'8""",153,11/29/1998,18,"Silver Mountain, ON",Canada,Y,,,,
,5383,Gaudreau,Johnny,13,LW,"5'8""",155,8/13/1993,23,"Carney's Point, NJ",USA,N,23,CGY,Calgary,Flames
,11813,Pochiro,Zach,54,LW,"6'1""",155,3/6/1994,23,"St. Louis, MO",USA,Y,24,EDM,Edmonton,Oilers
,5352,Jarnkrok,Calle,19,C,"5'11""",156,9/25/1991,25,Gavle,Sweden,N,18,NSH,Nashville,Predators
,5667,Cirelli,Anthony,,C,"6'0""",160,7/15/1997,19,"Etobicoke, ON",Canada,Y,,,,
,10077,Czarnik,Austin,27,C,"5'9""",160,12/12/1992,24,"Detroit, MI",USA,N,11,BOS,Boston,Bruins
,5440,Gostisbehere,Shayne,53,D,"5'11""",160,,,"Pembroke Pines, FL",USA,N,6,PHI,Philadelphia,Flyers
,5480,Grimaldi,Rocco,22,C,"5'6""",160,2/8/1993,24,"Anaheim, CA",USA,N,22,COL,Colorado,Avalanche
,5760,Hughes,Cameron,,C,"5'11""",160,10/9/1996,20,"Edmonton, AB",Canada,Y,11,BOS,Boston,Bruins
,5599,Marner,Mitchell,16,C,"5'11""",160,5/5/1997,20,"Markham, ON",Canada,N,12,TOR,Toronto,Maple Leafs
,5795,Marsh,Adam,63,LW,"6'0""",160,8/22/1997,19,"Chicago, IL",USA,Y,16,DET,Detroit,Red Wings
,5708,Morrison,Brad,,C,"6'0""",160,1/4/1997,20,"Prince George, BC",Canada,Y,,,,
,5251,Nordstrom,Joakim,42,C,"6'1""",160,2/25/1992,25,Stockholm,Sweden,N,3,CAR,Carolina,Hurricanes
,5738,Terry,Troy,61,C,"5'11""",160,9/10/1997,19,"Denver, CO",USA,Y,29,ANA,Anaheim,Ducks
,5690,Lindgren,Jesper,,D,"6'0""",161,5/19/1997,19,Ume?,Sweden,Y,,,,
,5668,Saarijarvi,Vili,,D,"5'9""",161,5/15/1997,19,Rovaniemi,Finland,Y,,,,
,11757,Wideman,Alex,,LW,"5'7""",161,12/13/1991,25,"St. Louis, MO",USA,Y,,,,
,11827,Martel,Danick,,LW,"5'8""",162,12/12/1994,22,"Drummondville, QC",Canada,Y,6,PHI,Philadelphia,Flyers
,12485,Anas,Sam,,C,"5'8""",163,6/1/1993,23,"Potomac, MD",USA,Y,25,MIN,Minnesota,Wild
,5695,Richard,Anthony,,C,"5'10""",163,12/20/1996,20,"Trois-Rivieres, QC",Canada,Y,,,,
,11712,Blais,Samuel,64,LW,"5'10""",164,6/17/1996,20,"Montmagny, QC",Canada,N,17,STL,St. Louis,Blues
,11752,Djoos,Christian,29,D,"6'0""",164,8/6/1994,22,Gothenburg,Sweden,Y,5,WSH,Washington,Capitals
,5744,Balcers,Rudolfs,,LW,"5'11""",165,4/8/1997,20,Liepaja,Latvia,Y,26,SJS,San Jose,Sharks
,11837,Cox,Trevor,,LW,"5'8""",165,8/12/1995,21,"Vancouver, BC",Canada,Y,,,,
,5718,Garland,Conor,83,RW,"5'8""",165,3/11/1996,21,"Scituate, MA",USA,Y,30,ARI,Arizona,Coyotes
,4374,Locke,Corey,37,C,"5'9""",165,5/8/1984,32,"Newmarket, ON",Canada,N,13,OTT,Ottawa,Senators
,5430,Petan,Nicolas,19,C,"5'9""",165,3/22/1995,22,"Delta, BC",Canada,N,47,WPJ,Winnipeg,Jets
,4558,Ross,Jared,42,C,"5'9""",165,9/18/1982,34,"Huntsville, AL",USA,N,6,PHI,Philadelphia,Flyers
,12246,Tynan,T.J.,49,C,"5'8""",165,2/25/1992,25,"Orland Park, IL",USA,N,19,CBJ,Columbus,Blue Jackets
,4658,Enroth,Jhonas,35,G,"5'10""",166,6/25/1988,28,Stockholm,Sweden,N,12,TOR,Toronto,Maple Leafs
,5435,Ho-Sang,Joshua,66,C,"6'0""",166,1/22/1996,21,"Toronto, ON",Canada,Y,8,NYI,New York,Islanders
,5715,Joseph,Mathieu,,RW,"6'1""",166,2/9/1997,20,"Laval, QC",Canada,Y,,,,
,11779,Perron,Francis,47,LW,"6'0""",166,4/18/1996,21,"Laval, QC",Canada,Y,13,OTT,Ottawa,Senators
,10079,Point,Brayden,21,C,"5'10""",166,3/13/1996,21,"Calgary, AB",Canada,Y,1,TBL,Tampa Bay,Lightning
,5707,Wotherspoon,Parker,,D,"6'1""",166,8/24/1997,19,"Surrey, BC",Canada,Y,,,,
,5908,Binnington,Jordan,50,G,"6'1""",167,7/11/1993,23,"Richmond Hill, ON",Canada,N,17,STL,St. Louis,Blues
,5890,Gourde,Yanni,65,C,"5'9""",167,12/15/1991,25,"Saint-Narcisse, QC",Canada,N,1,TBL,Tampa Bay,Lightning
,5442,Kozun,Brandon,67,RW,"5'8""",167,3/8/1990,27,"Los Angeles, CA",USA,Y,12,TOR,Toronto,Maple Leafs
,5437,Pastrnak,David,88,RW,"6'0""",167,5/25/1996,20,Havirov,Czech Republic,N,11,BOS,Boston,Bruins
,5419,Ehlers,Nikolaj,27,RW,"6'0""",168,2/13/1996,21,Aalborg,Denmark,N,47,WPJ,Winnipeg,Jets
,9633,Keller,Clayton,14,C,"5'10""",168,7/29/1998,18,"Swansea, IL",USA,Y,30,ARI,Arizona,Coyotes
,178,Miller,Ryan,30,G,"6'2""",168,7/17/1980,36,"East Lansing, MI",USA,N,21,VAN,Vancouver,Canucks
,5536,Cousins,Nick,25,C,"5'10""",169,,,"Belleville, ON",Canada,N,6,PHI,Philadelphia,Flyers
,5663,Dzierkals,Martins,,LW,"5'11""",169,4/4/1997,20,(Unknown),Latvia,Y,,,,
,4728,Ennis,Tyler,63,C,"5'9""",169,10/6/1989,27,"Edmonton, AB",Canada,N,15,BUF,Buffalo,Sabres
,5723,Kase,David,,RW,"5'11""",169,1/28/1997,20,Kadan,Czech Republic,Y,6,PHI,Philadelphia,Flyers
,4985,Rinaldo,Zac,36,RW,"5'11""",169,6/15/1990,26,"Mississauga, ON",Canada,N,11,BOS,Boston,Bruins
,5355,Teravainen,Teuvo,86,C,"5'11""",169,9/11/1994,22,Helsinki,Finland,N,3,CAR,Carolina,Hurricanes
,5709,Zhukenov,Dmitry,,C,"5'11""",169,3/24/1997,20,Omsk,Russia,Y,,,,
,5263,Abbott,Spencer,24,LW,"5'9""",170,4/30/1988,29,"Hamilton, ON",Canada,N,20,CHI,Chicago,Blackhawks
,5549,Bourque,Ryan,25,C,"5'9""",170,1/3/1991,26,"Boxford, MA",USA,Y,9,NYR,New York,Rangers
,5095,Brown,J.T.,23,RW,"5'10""",170,7/2/1990,26,"Burnsville, MN",USA,N,1,TBL,Tampa Bay,Lightning
,595,Caron,Sebastien,35,G,"6'1""",170,6/25/1980,36,"Amqui, QC",Canada,N,1,TBL,Tampa Bay,Lightning
,9646,Cholowski,Dennis,,D,"6'0""",170,2/15/1998,19,"Langley, BC",Canada,Y,,,,
,5434,Fabbri,Robby,15,C,"5'10""",170,1/22/1996,21,"Mississauga, ON",Canada,N,17,STL,St. Louis,Blues
,5737,Gaudette,Adam,,C,"6'1""",170,10/3/1996,20,"Braintree, MA",USA,Y,21,VAN,Vancouver,Canucks
,5295,Gibbons,Brian,23,C,"5'8""",170,2/26/1988,29,"Braintree, MA",USA,Y,19,CBJ,Columbus,Blue Jackets
,4228,Haydar,Darren,12,RW,"5'9""",170,10/22/1979,37,"Milton, ON",Canada,N,22,COL,Colorado,Avalanche
,5384,Hishon,Joey,38,C,"5'10""",170,10/20/1991,25,"Stratford, ON",Canada,Y,22,COL,Colorado,Avalanche
,11810,Holl,Justin,,D,"6'2""",170,1/30/1992,25,"Edina, MN",USA,Y,12,TOR,Toronto,Maple Leafs
,12000,Lorito,Matthew,22,RW,"5'9""",170,7/3/1990,26,"Oakville, ON",Canada,Y,16,DET,Detroit,Red Wings
,5761,Mangiapane,Andrew,88,LW,"5'10""",170,4/4/1996,21,"Bolton, ON",Canada,Y,23,CGY,Calgary,Flames
,5557,Moses,Steve,,RW,"5'9""",170,8/9/1989,27,"Leominster, MA",USA,Y,,,,
,5811,Panarin,Artemi,72,LW,"5'11""",170,10/30/1991,25,Korkino,Russia,N,20,CHI,Chicago,Blackhawks
,11735,Reway,Martin,,LW,"5'8""",170,1/24/1995,22,Prague,Czechoslovakia,Y,14,MTL,Montreal,Canadiens
,5810,Ryan,Derek,33,C,"5'10""",170,12/29/1986,30,"Spokane, WA",USA,N,3,CAR,Carolina,Hurricanes
,5752,Seney,Brett,,LW,"5'9""",170,2/28/1996,21,"London, ON",Canada,Y,7,NJD,New Jersey,Devils
,5175,Thomas,Christian,38,LW,"5'9""",170,,,"Toronto, ON",Canada,N,30,ARI,Arizona,Coyotes
,12014,Ully,Cole,,LW,"6'0""",170,2/20/1995,22,"Calgary, AB",Canada,Y,,,,
,5745,Vainio,Veeti,,D,"6'2""",170,6/16/1997,19,Espoo,Finland,Y,19,CBJ,Columbus,Blue Jackets
,5315,Warsofsky,David,5,D,"5'9""",170,5/30/1990,26,"Marshfield, MA",USA,N,10,PIT,Pittsburgh,Penguins
,11809,Watson,Spencer,,RW,"5'10""",170,4/25/1996,21,"London, ON",Canada,Y,28,LAK,Los Angeles,Kings
,5329,Whitney,Joe,33,RW,"5'6""",170,2/6/1988,29,"Reading, MA",USA,Y,7,NJD,New Jersey,Devils
,3856,Aucoin,Keith,15,RW,"5'8""",171,11/6/1978,38,"Waltham, MA",USA,N,17,STL,St. Louis,Blues
,5066,Hackett,Matt,31,G,"6'2""",171,3/7/1990,27,"London, ON",Canada,N,15,BUF,Buffalo,Sabres
,5300,Kucherov,Nikita,86,RW,"5'11""",171,6/17/1993,23,Moscow,Russia,N,1,TBL,Tampa Bay,Lightning
,5749,Marino,John,,D,"6'1""",171,5/21/1997,19,"Brockton, MA",USA,Y,24,EDM,Edmonton,Oilers
,12348,Molino,Griffen,13,C,"5'11""",171,1/21/1994,23,"Trenton, MI",USA,Y,21,VAN,Vancouver,Canucks
,5136,Namestnikov,Vladislav,90,C,"5'11""",171,11/22/1992,24,Zhukovskiy,Russia,N,1,TBL,Tampa Bay,Lightning
,767,Nedorost,Vaclav,40,C,"6'0""",171,3/16/1982,35,Ceske Budejovice,Czech Republic,N,4,FLO,Florida,Panthers
,5679,Sideroff,Deven,,RW,"5'11""",171,4/14/1997,20,"Kamloops, BC",Canada,Y,,,,
,5717,Stephens,Devante,,D,"6'1""",171,1/2/1997,20,"Surrey, BC",Canada,Y,15,BUF,Buffalo,Sabres
,5406,Aaltonen,Miro,52,C,"5'10""",172,6/7/1993,23,Joensuu,Finland,Y,,,,
,5162,Arcobello,Mark,33,C,"5'8""",172,8/12/1988,28,"Milford, CT",USA,N,12,TOR,Toronto,Maple Leafs
,5538,Arvidsson,Viktor,38,LW,"5'9""",172,4/8/1993,24,Skelleftea,Sweden,N,18,NSH,Nashville,Predators
,5011,Atkinson,Cam,13,RW,"5'7""",172,6/5/1989,27,"Riverside, CT",USA,N,19,CBJ,Columbus,Blue Jackets
,4394,Giroux,Claude,28,RW,"5'11""",172,1/12/1988,29,"Hearst, ON",Canada,N,6,PHI,Philadelphia,Flyers
,5769,Jasek,Lukas,,RW,"6'1""",172,8/28/1997,19,Trinec,Czech Republic,Y,21,VAN,Vancouver,Canucks
,5344,Kuznetsov,Evgeny,92,C,"6'0""",172,5/19/1992,24,Chelyabinsk,Russia,N,5,WSH,Washington,Capitals
,11789,Leblanc,Olivier,,D,"6'0""",172,2/17/1996,21,,Canada,Y,,,,
,5751,Massie,Jake,,D,"6'0""",172,1/21/1997,20,"Montreal, QC",Canada,Y,3,CAR,Carolina,Hurricanes
,5839,McGinn,Brock,23,LW,"5'11""",172,2/2/1994,23,"Fergus, ON",Canada,N,3,CAR,Carolina,Hurricanes
,11782,Ross,Garrett,39,LW,"6'0""",172,5/26/1992,24,"Dearborn Hts, MI",USA,Y,30,ARI,Arizona,Coyotes
,11740,Sorensen,Marcus,20,RW,"5'11""",172,4/2/1992,25,Sodertalje,Sweden,N,26,SJS,San Jose,Sharks
,9639,Bean,Jake,,D,"6'0""",173,7/9/1998,18,"Calgary, AB",Canada,Y,,,,
,5655,Bracco,Jeremy,,RW,"5'10""",173,3/17/1997,20,"Freeport, NY",USA,Y,,,,
,4555,Gerbe,Nathan,14,C,"5'5""",173,7/24/1987,29,"Oxford, MI",USA,N,9,NYR,New York,Rangers
,5265,Leivo,Josh,32,LW,"6'1""",173,,,"Innisfil, ON",Canada,N,12,TOR,Toronto,Maple Leafs
,5753,Marody,Cooper,,C,"6'0""",173,12/20/1996,20,"Brighton, MI",USA,Y,6,PHI,Philadelphia,Flyers
,4295,Russell,Kris,4,D,"5'10""",173,5/2/1987,30,"Caroline, AB",Canada,N,24,EDM,Edmonton,Oilers
,4629,Van Der Gulik,David,36,LW,"5'10""",173,4/20/1983,34,"Abottsford, BC",Canada,N,28,LAK,Los Angeles,Kings
,5208,Aittokallio,Sami,30,G,"6'1""",174,8/6/1992,24,Tampere,Finland,N,22,COL,Colorado,Avalanche
,162,Briere,Daniel,48,C,"5'9""",174,10/6/1977,39,"Gatineau, QC",Canada,N,22,COL,Colorado,Avalanche
,12027,Bystrom,Ludwig,,D,"6'0""",174,7/20/1994,22,Ornskoldsvik,Sweden,Y,,,,
,5710,Carrier,Alexandre,73,D,"5'11""",174,10/8/1996,20,"Quebec City, QC",Canada,N,18,NSH,Nashville,Predators
,4397,Ebbett,Andrew,25,C,"5'9""",174,1/2/1983,34,"Vernon, BC",Canada,N,10,PIT,Pittsburgh,Penguins
,11857,Eberle,Tanner,,LW,"5'11""",174,1/12/1994,23,"Regina, SK",Canada,Y,,,,
,12038,Foster,T.J.,,C,"5'11""",174,5/28/1992,24,"Slave Lake, AB",Canada,Y,,,,
,11572,Grzelcyk,Matt,48,D,"5'9""",174,1/5/1994,23,"Charlestown, MA",USA,N,11,BOS,Boston,Bruins
,9654,Johansen,Lucas,,D,"6'1""",174,11/16/1997,19,"Port Moody, BC",Canada,N,5,WSH,Washington,Capitals
,12021,Joly,Michael,,RW,"5'11""",174,5/5/1995,22,"Gatineau, QC",Canada,Y,,,,
,5621,Juulsen,Noah,58,D,"6'2""",174,4/2/1997,20,"Abbotsford, BC",Canada,Y,14,MTL,Montreal,Canadiens
,10160,Lappin,Nick,36,RW,"6'1""",174,11/1/1992,24,"Geneva, IL",USA,Y,7,NJD,New Jersey,Devils
,10064,Lehkonen,Artturi,62,LW,"6'0""",174,7/4/1995,21,Piikkio,Finland,N,14,MTL,Montreal,Canadiens
,11869,Lodge,Jimmy,45,C,"6'1""",174,3/5/1995,22,"West Chester, PA",USA,Y,,,,
,5844,McCormick,Max,89,LW,"5'11""",174,5/1/1992,25,"De Pere, WI",USA,N,13,OTT,Ottawa,Senators
,5805,Olson,Tate,,D,"6'2""",174,3/21/1997,20,"Saskatoon, SK",Canada,Y,21,VAN,Vancouver,Canucks
,5758,Ruusu,Markus,,G,"6'2""",174,8/23/1997,19,Jyv?skyl?,Finland,Y,27,DAL,Dallas,Stars
